timestamp,sum_oi,sum_oi_value
1782981900000,3157173.80800000,190156578.45584000
1782982200000,3213119.41000000,193783231.61710000
1782982500000,3201867.25600000,192950382.88916963
1782982800000,3186409.64300000,191864334.71185926
1782983100000,3182022.73600000,191716869.84400000
1782983400000,3169491.91200000,190454768.99208000
1782983700000,3172560.83000000,190734357.09960000
1782984000000,3135026.29000000,188050635.48000643
1782984300000,3131894.00800000,187756136.87263992
1782984600000,3126612.62000000,187549748.01646802
1782984900000,3117100.17600000,187181865.56880000
1782985200000,3117386.32800000,187105527.40656000
1782985500000,3110743.77300000,186831271.00638000
1782985800000,3103987.37400000,186329465.17188358
1782986100000,3102261.23100000,185825447.73690000
1782986400000,3096442.35100000,185443957.89299604
1782986700000,3097028.26400000,185540237.91136768
1782987000000,3090723.79700000,185318152.71771848
1782987300000,3086459.34400000,184878914.70560000
1782987600000,3047335.56900000,182596347.29448000
1782987900000,3069038.76700000,183864792.59877710
1782988200000,3075787.67500000,184387121.06032133
1782988500000,3075541.71300000,184274594.00303125
1782988800000,3075112.99500000,184037301.03051043
1782989100000,3077281.70300000,184298401.19267000
1782989400000,3074231.22700000,184054223.56049000
1782989700000,3073150.50900000,183989520.97383000
1782990000000,3073729.86100000,184054944.07668000
1782990300000,3050540.42400000,181713236.83525944
1782990600000,3041042.45000000,181365889.61682770
1782990900000,3041125.73800000,181999123.33192673
1782991200000,3032404.46100000,181822971.48156000
1782991500000,3053662.23900000,183082552.68635696
1782991800000,3058121.03800000,183267936.43855754
1782992100000,3054049.08400000,183120783.07664000
1782992400000,3050649.96400000,183100010.83928000
1782992700000,3054140.39000000,183669621.64204493
1782993000000,3046675.89600000,183040853.31394243
1782993300000,3046623.35900000,183071597.64231000
1782993600000,3048365.01600000,182505613.50792000
1782993900000,3040604.87800000,182086890.17535645
1782994200000,3044636.71000000,182325424.92868915
1782994500000,3050276.17700000,182467520.90814000
1782994800000,3051995.29700000,182383524.97564307
1782995100000,3046075.61800000,182331937.04556160
1782995400000,3049446.20500000,182379974.16703690
1782995700000,3044729.32800000,187250853.67200000
1782996000000,3008376.47700000,185105404.62981000
1782996300000,3009690.63000000,185065876.83870000
1782996600000,3047548.01800000,186874628.07602050
1782996900000,3015787.75800000,184333983.61192477
1782997200000,3128441.97600000,191731347.85345402
1782997500000,3131269.96700000,192698353.76918000
1782997800000,3136141.98400000,192088696.52000000
1782998100000,3127143.17900000,191868805.63464716
1782998400000,3078120.41100000,188573924.82490802
1782998700000,3078045.15900000,188207371.97206703
1782999000000,3081375.65900000,187994728.95559000
1782999300000,2990832.23600000,183756732.57984000
1782999600000,2974916.55500000,183433354.78130000
1782999900000,2964448.80900000,183321514.34856000
1783000200000,2981415.45900000,184907386.76718000
1783000500000,2966054.34600000,183320732.22273844
1783000800000,3044905.41700000,188586243.30987780
1783001100000,3037578.05600000,187590152.52142107
1783001400000,3004902.99200000,185402514.60640000
1783001700000,3004527.50200000,185409392.14842000
1783002000000,3000239.06200000,184861942.09140715
1783002300000,2975139.86500000,182655756.03171074
1783002600000,3007626.15200000,184211295.82832366
1783002900000,3028147.39500000,185474027.94375000
1783003200000,3034851.99000000,186045820.33948538
1783003500000,3068198.38500000,188152474.66152698
1783003800000,3078699.05700000,188755039.18467000
1783004100000,3074052.03900000,188343107.36086230
1783004400000,3071249.71600000,188605445.05956000
1783004700000,3068948.36800000,188018186.41143640
1783005000000,3109318.48000000,189848363.50934443
1783005300000,3109948.01900000,190322788.29369584
1783005600000,3104781.32200000,189484804.08166000
1783005900000,3118957.29100000,190973754.92793000
1783006200000,3112427.59200000,190107077.31936000
1783006500000,3159151.05100000,193687550.93681000
1783006800000,3168687.32800000,194208803.30234608
1783007100000,3205091.08500000,196087472.58030000
1783007400000,3203522.18200000,195959451.87294000
1783007700000,3198063.09100000,195713130.85446057
1783008000000,3202529.60900000,195864216.69232990
1783008300000,3192313.60000000,194954591.55200000
1783008600000,3169695.59500000,193218742.60739556
1783008900000,3186834.58900000,194637140.72256500
1783009200000,3189522.66700000,194879834.95370000
1783009500000,3188024.50200000,194164175.06066460
1783009800000,3192023.42400000,194229711.61338156
1783010100000,3222048.11900000,195347037.66623032
1783010400000,3241705.33300000,196966016.03308000
1783010700000,3248930.82100000,197724540.82948583
1783011000000,3249148.09200000,197928623.08989418
1783011300000,3241079.97800000,197332530.94156384
1783011600000,3259399.53600000,198490496.16390935
1783011900000,3239564.02700000,196996388.85528627
1783012200000,3245110.77100000,197364637.40917662
1783012500000,3240025.10700000,197098625.30601206
1783012800000,3241670.50600000,196963899.94456000
1783013100000,3246514.54800000,196918545.40472198
1783013400000,3236675.29200000,196348231.66485524
1783013700000,3225246.05800000,195385406.19364000
1783014000000,3228539.00000000,195478334.52887806
1783014300000,3226353.45200000,195210454.92555156
1783014600000,3210885.25000000,194547537.29750000
1783014900000,3209853.41500000,194549215.48315000
1783015200000,3210143.64000000,194213690.22000000
1783015500000,3212748.08700000,195122335.80042620
1783015800000,3244642.09700000,197371578.76051000
1783016100000,3273245.84200000,198954334.82628834
1783016400000,3268832.53700000,198311224.98389310
1783016700000,3269007.59900000,198339880.50590150
1783017000000,3271924.85900000,199055395.42930412
1783017300000,3261604.37200000,198778075.25200754
1783017600000,3251737.99100000,198128395.79163000
1783017900000,3252225.43100000,197832872.96773000
1783018200000,3260275.02100000,198436334.28484780
1783018500000,3259509.52200000,198198663.87930763
1783018800000,3261079.99200000,198436717.51320000
1783019100000,3225505.40000000,195659157.56400000
1783019400000,3216694.95200000,195046098.18751260
1783019700000,3217220.40400000,194931384.27836000
1783020000000,3215173.71700000,194762373.94827917
1783020300000,3217454.01700000,194462920.78748000
1783020600000,3220358.50000000,195121521.51500000
1783020900000,3217188.10800000,195107938.61511216
1783021200000,3216080.87200000,194990983.26936000
1783021500000,3216785.23300000,195130192.23378000
1783021800000,3219430.59200000,195483825.54624000
1783022100000,3220425.18900000,196123894.01010000
1783022400000,3216633.48600000,195892979.29740000
1783022700000,3209743.48600000,195374081.60872224
1783023000000,3214730.30000000,195809222.57300000
1783023300000,3214544.26700000,195683840.01172203
1783023600000,3213997.08000000,195828842.08440000
1783023900000,3216634.16200000,196037729.63148785
1783024200000,3216038.19500000,196016653.15854020
1783024500000,3217536.15900000,196134312.61398867
1783024800000,3216447.73700000,195921653.99723744
1783025100000,3212861.59300000,195695399.62963000
1783025400000,3209777.01200000,195491091.12510568
1783025700000,3224276.01600000,196487380.41504000
1783026000000,3221646.88900000,196737165.82116260
1783026300000,3212447.28600000,196119906.81030000
1783026600000,3213154.02700000,196195184.88862000
1783026900000,3211196.59900000,195947216.47098000
1783027200000,3209500.64600000,195972109.44476000
1783027500000,3209704.22400000,196002082.62007037
1783027800000,3207710.90100000,195847713.97191620
1783028100000,3211347.04600000,196134327.88481120
1783028400000,3209538.51400000,196023646.67798308
1783028700000,3208000.09100000,195944645.55828000
1783029000000,3207369.84800000,195874076.61736000
1783029300000,3207085.53800000,195830929.41520990
1783029600000,3205652.41700000,195867244.65312096
1783029900000,3202763.75700000,195496699.72728000
1783030200000,3198468.34400000,195330461.76808000
1783030500000,3201406.91900000,195317836.12819000
1783030800000,3200410.51800000,195321053.91354000
1783031100000,3195472.55000000,194891870.82450000
1783031400000,3194448.42900000,194879037.29383460
1783031700000,3192156.88100000,194976942.29148000
1783032000000,3196081.04700000,195056826.29841000
1783032300000,3194113.42400000,194968683.40096000
1783032600000,3193621.76000000,195048676.78741294
1783032900000,3196577.01400000,195170861.43310610
1783033200000,3192972.03300000,194930942.61465000
1783033500000,3192970.04900000,194930821.49145000
1783033800000,3193832.75700000,195169160.24803707
1783034100000,3194023.31100000,195067663.01518914
1783034400000,3194819.33300000,195043720.27965000
1783034700000,3194497.33600000,195215732.20296000
1783035000000,3191329.11200000,195203131.06213683
1783035300000,3190742.70200000,195050101.37326000
1783035600000,3188146.89200000,194700130.69444000
1783035900000,3214965.09300000,196408393.25426608
1783036200000,3207888.26200000,196318753.60256880
1783036500000,3206700.29600000,196121790.10336000
1783036800000,3206682.86600000,196106715.20945746
1783037100000,3195506.36800000,195788675.16736000
1783037400000,3196009.03900000,195435952.73485000
1783037700000,3203990.62200000,196372585.22238000
1783038000000,3185511.13900000,195048847.04097000
1783038300000,3181822.79600000,194950282.71092000
