timestamp,sum_oi,sum_oi_value
1782951900000,10651712.36000000,822844779.81000000
1782952200000,10651427.88000000,821864175.22080000
1782952500000,10651877.59000000,820270740.68070730
1782952800000,10655023.95000000,819872327.87544950
1782953100000,10647018.57000000,819288078.96150000
1782953400000,10632311.14000000,821162139.53681500
1782953700000,10645249.36000000,821706798.09840000
1782954000000,10644571.65000000,822080268.52950000
1782954300000,10641209.65000000,822246269.65550000
1782954600000,10640746.25000000,823912982.13750000
1782954900000,10646225.11000000,826040606.28490000
1782955200000,10645514.51000000,827461804.30295030
1782955500000,10642398.88000000,827552936.90880000
1782955800000,10639430.65000000,828811647.63500000
1782956100000,10631308.44000000,832120247.89563870
1782956400000,10627815.88000000,833645877.62720000
1782956700000,10611782.42000000,830675690.47551900
1782957000000,10607729.46000000,829142646.02410660
1782957300000,10609017.16000000,827988169.18503980
1782957600000,10610815.78000000,829381687.66406370
1782957900000,10619272.00000000,828987311.73228720
1782958200000,10620673.70000000,827379892.63685050
1782958500000,10626314.87000000,828958823.00870000
1782958800000,10625327.36000000,829664479.88664020
1782959100000,10629888.16000000,830832058.58560000
1782959400000,10638696.68000000,831328640.84736530
1782959700000,10639893.64000000,832784475.20280000
1782960000000,10640058.48000000,834074184.24720000
1782960300000,10651934.44000000,835963814.85120000
1782960600000,10646261.78000000,833921685.22740000
1782960900000,10650007.41000000,834534580.64760000
1782961200000,10656401.65000000,835322768.43799900
1782961500000,10656788.64000000,835492229.37600000
1782961800000,10661943.81000000,835499672.41100440
1782962100000,10660078.37000000,835750144.20800000
1782962400000,10656409.22000000,832691816.45080000
1782962700000,10664747.90000000,831320008.25487460
1782963000000,10684132.91000000,837902675.16053310
1782963300000,10669617.27000000,836497993.96800000
1782963600000,10655538.96000000,836886029.91840000
1782963900000,10671477.30000000,837828438.49825580
1782964200000,10675266.55000000,838221929.50600000
1782964500000,10672136.20000000,840324004.38800000
1782964800000,10676535.98000000,839980219.42741660
1782965100000,10678880.31000000,839359992.36600000
1782965400000,10667780.88000000,836567376.60960000
1782965700000,10668299.21000000,837090275.76598270
1782966000000,10679311.34000000,837151215.94260000
1782966300000,10679381.05000000,835831406.37864720
1782966600000,10676715.67000000,835502693.49494140
1782966900000,10673063.20000000,834206619.71200000
1782967200000,10675262.54000000,833951509.62480000
1782967500000,10684803.22000000,835231067.70740000
1782967800000,10693603.74000000,836774492.65500000
1782968100000,10698394.67000000,837577318.71430000
