timestamp,sum_oi,sum_oi_value
1782951600000,8479650.64000000,62172798.49248000
1782951900000,8475732.24000000,62220063.63981832
1782952200000,8472414.92000000,62095072.48781338
1782952500000,8469599.01000000,61987811.52772835
1782952800000,8466184.42000000,61957418.68707628
1782953100000,8457639.59000000,61837103.38261081
1782953400000,8455478.21000000,62014385.84723634
1782953700000,8454302.32000000,62029416.65789103
1782954000000,8456294.06000000,62060742.10634000
1782954300000,8465595.65000000,62155389.08091344
1782954600000,8471231.64000000,62339793.63876000
1782954900000,8467062.85000000,62393786.14165000
1782955200000,8452653.13000000,62371685.20345824
1782955500000,8452152.98000000,62389427.76134583
1782955800000,8459354.23000000,62555942.31523036
1782956100000,8472779.28000000,62678946.00283793
1782956400000,8499589.36000000,63043368.05066030
1782956700000,8504212.75000000,63118267.03050000
1782957000000,8492041.58000000,63019906.52350149
1782957300000,8485821.39000000,62879936.49990000
1782957600000,8468455.16000000,62876821.46439055
1782957900000,8460165.83000000,62842581.57824854
1782958200000,8455053.02000000,62692629.26973648
1782958500000,8455511.56000000,62646885.14804000
1782958800000,8465115.77000000,62599531.11915000
1782959100000,8473016.68000000,62717269.46536000
1782959400000,8491642.78000000,62846648.21478000
1782959700000,8505046.49000000,63010742.91741056
1782960000000,8513390.86000000,63135306.61776000
1782960300000,8519728.67000000,63159777.56464676
1782960600000,8536605.39000000,63239172.72912000
1782960900000,8543593.88000000,63299191.87575144
1782961200000,8552630.03000000,63355408.98637232
1782961500000,8555036.68000000,63444152.01888000
1782961800000,8554734.13000000,63412259.82381629
1782962100000,8554768.27000000,63527709.17302000
1782962400000,8548337.37000000,63359450.64608331
1782962700000,8545772.03000000,63358353.83042000
1782963000000,8530478.86000000,63680024.68990000
1782963300000,8523776.85000000,63740041.94055176
1782963600000,8522045.55000000,63883910.87226386
1782963900000,8523372.68000000,63953558.94474179
1782964200000,8541478.93000000,64078174.93286000
1782964500000,8541814.71000000,64319864.76630000
1782964800000,8543901.14000000,64369751.18876000
1782965100000,8542072.17000000,64204948.66160090
1782965400000,8535370.70000000,64127778.39896126
1782965700000,8536642.90000000,64152871.39350000
1782966000000,8540272.64000000,64094746.16320000
1782966300000,8536720.96000000,64016870.47904000
1782966600000,8532736.18000000,64046717.76708000
1782966900000,8527929.24000000,63942413.44152000
1782967200000,8529599.52000000,63920818.80288000
1782967500000,8534954.82000000,64075828.75502392
1782967800000,8530988.62000000,64008007.61586000
1782968100000,8532764.28000000,64072526.97852000
1782968400000,8532720.12000000,64063662.66096000
1782968700000,8528565.93000000,63920796.71929753
1782969000000,8527827.59000000,64079957.02740531
1782969300000,8531899.27000000,64074563.51770000
1782969600000,8531275.99000000,64112539.06485000
1782969900000,8530925.45000000,64023516.59610834
1782970200000,8531035.77000000,63982768.27500000
1782970500000,8528810.42000000,63938999.85922133
1782970800000,8525427.62000000,63719046.03188000
1782971100000,8526731.61000000,63703211.85831000
1782971400000,8529958.76000000,63703526.29650517
1782971700000,8536511.03000000,63836029.48234000
1782972000000,8546985.19000000,63914355.25082000
1782972300000,8548448.72000000,63856911.93840000
1782972600000,8544850.90000000,63779174.70698793
1782972900000,8541167.78000000,63742735.14214000
1782973200000,8547606.59000000,63872351.55110556
1782973500000,8546893.24000000,63836745.60956000
1782973800000,8547654.68000000,63786326.68341286
1782974100000,8548808.66000000,63971227.10123029
1782974400000,8550246.99000000,63930196.74423000
1782974700000,8553231.03000000,63935401.94925000
1782975000000,8544789.48000000,63651750.86180488
1782975300000,8546063.83000000,63659629.46967000
1782975600000,8545105.49000000,63592675.05658000
1782975900000,8562899.55000000,63699409.75245000
1782976200000,8565737.19000000,63737650.43079000
1782976500000,8566846.24000000,63677368.10192000
1782976800000,8566302.41000000,63664759.51112000
1782977100000,8565381.54000000,63693068.61635068
1782977400000,8563184.90000000,63670815.64180891
1782977700000,8562290.70000000,63729871.17447462
1782978000000,8568392.58000000,63813486.40396262
1782978300000,8570724.47000000,63851897.30150000
1782978600000,8572902.38000000,63893093.70959441
1782978900000,8560161.12000000,63756080.02176000
1782979200000,8557560.04000000,63753822.29800000
1782979500000,8556089.97000000,63828431.17620000
1782979800000,8555728.83000000,63919850.08893000
1782980100000,8555102.59000000,63829620.42399000
1782980400000,8551865.49000000,63888576.73250164
1782980700000,8552930.10000000,63898940.77710000
1782981000000,8553135.95000000,63920150.38194684
1782981300000,8554787.80000000,63981257.95620000
1782981600000,8554850.86000000,64075832.94140000
1782981900000,8557529.18000000,64111808.25194192
1782982200000,8552836.98000000,64104564.56534995
1782982500000,8551967.60000000,64122653.06480000
1782982800000,8552321.18000000,64148439.17718723
1782983100000,8552751.03000000,64085763.46779000
1782983400000,8555006.70000000,64034225.14950000
1782983700000,8551319.43000000,64034306.21249213
1782984000000,8547909.61000000,64007093.26454011
1782984300000,8551656.39000000,64069009.67388000
1782984600000,8551840.94000000,64217796.47091595
1782984900000,8564151.06000000,64569462.04994609
1782985200000,8583403.74000000,65195272.03324060
1782985500000,8594907.91000000,65192376.49735000
1782985800000,8586614.98000000,65149706.40551588
1782986100000,8585073.72000000,65186464.75596000
1782986400000,8595372.47000000,65206287.26281137
1782986700000,8606537.38000000,65365262.04777075
1782987000000,8610267.90000000,65394984.70050000
1782987300000,8636024.32000000,65841049.41568000
1782987600000,8632470.70000000,65836778.36591430
1782987900000,8661745.26000000,66203156.00571863
1782988200000,8659503.13000000,66153052.56552845
1782988500000,8682539.98000000,66503406.78774497
1782988800000,8684494.53000000,66436383.15450000
1782989100000,8682240.12000000,66254174.35572000
1782989400000,8687460.21000000,66389570.92482000
1782989700000,8691231.68000000,66419322.11270049
1782990000000,8691608.69000000,66328734.48583800
1782990300000,8691697.65000000,66276404.01079263
1782990600000,8695857.09000000,66349426.81496835
1782990900000,8695777.77000000,66496667.56450551
1782991200000,8691448.53000000,66450510.67283758
1782991500000,8694445.35000000,66588732.86877252
1782991800000,8686839.77000000,66454324.24050000
1782992100000,8692542.64000000,66385958.91053818
1782992400000,8690431.21000000,66438346.60045000
1782992700000,8695363.76000000,66554314.21904000
1782993000000,8693592.34000000,66499435.47371168
1782993300000,8694590.18000000,66468945.89827484
1782993600000,8710321.19000000,66677508.70945000
1782993900000,8710860.53000000,66626604.75357962
1782994200000,8707385.82000000,66681160.60956000
1782994500000,8712616.75000000,66904095.76444233
