timestamp,sum_oi,sum_oi_value
1782948600000,56898.09500000,229783525.63845000
1782948900000,56898.13200000,229925560.46313372
1782949200000,57003.73600000,230142144.95908326
1782949500000,56944.84000000,229933013.84880000
1782949800000,56975.35400000,229965235.46835408
1782950100000,56929.60700000,229914202.94199000
1782950400000,56890.69500000,229667735.71500000
1782950700000,56938.26200000,229739054.57856000
1782951000000,57033.22300000,230479818.70575014
1782951300000,56867.01400000,230156728.42192000
1782951600000,56822.32400000,229745359.13359454
1782951900000,56781.33400000,229932037.33962000
1782952200000,56718.13200000,229646044.65480000
1782952500000,56671.62600000,229384640.11386000
1782952800000,56635.65600000,229129174.40952000
1782953100000,56597.57100000,228736677.32601082
1782953400000,56623.93300000,229534738.48411000
1782953700000,56686.83900000,229772165.72904000
1782954000000,56652.27100000,229705697.13286000
1782954300000,56194.18900000,228523305.73847670
1782954600000,55939.02400000,227489466.46176000
1782954900000,55931.10500000,227575238.09753114
1782955200000,55601.51600000,225961102.81543040
1782955500000,55621.65300000,225566075.18590936
1782955800000,55523.68700000,225185659.96680470
1782956100000,55697.05200000,225603693.97860000
1782956400000,55699.46800000,225917042.20800000
1782956700000,55693.39600000,225606429.75041810
1782957000000,55726.34100000,226009321.19370000
1782957300000,55804.51400000,226376591.49240000
1782957600000,55801.20500000,226166378.87381575
1782957900000,55827.61700000,226066119.17512000
1782958200000,55871.63700000,226113073.65537000
1782958500000,55799.44300000,225996020.73239568
1782958800000,55869.46400000,226624982.90712000
1782959100000,55952.88500000,226793269.24165000
1782959400000,55991.93000000,227017970.21852273
1782959700000,56041.74200000,227141214.93240678
1782960000000,56052.98600000,227244218.69340798
1782960300000,56019.33600000,227384725.59744000
1782960600000,56046.43800000,227541252.24306000
1782960900000,56113.03800000,227839696.10406000
1782961200000,56243.35800000,228338213.70859304
1782961500000,56278.86300000,228434779.33974000
1782961800000,56322.38000000,228565129.36302105
1782962100000,56344.20000000,228741135.59245166
1782962400000,56316.59900000,228721851.48224595
1782962700000,56297.92800000,228804350.03976000
1782963000000,56249.98500000,228799626.48675000
1782963300000,56125.39700000,228222140.56713000
1782963600000,56377.54400000,229284088.79536000
1782963900000,56383.53400000,229374512.57328346
1782964200000,56357.96600000,229428648.22135893
1782964500000,56712.86700000,231088510.61828578
1782964800000,56936.75900000,231877922.25803423
1782965100000,57085.98900000,232559185.42776000
1782965400000,57072.03700000,232465681.95250580
1782965700000,57050.91700000,232332434.30793450
1782966000000,57026.25900000,232069590.45014724
1782966300000,57263.65100000,232919393.81150997
1782966600000,57208.18200000,232693136.12136000
1782966900000,57306.15100000,232981529.77066370
1782967200000,57158.98200000,232384299.57412583
1782967500000,57164.54300000,232422897.51103080
1782967800000,57166.06800000,232336620.20832000
1782968100000,57199.61900000,232581086.80447000
1782968400000,57209.91600000,232451898.09624000
1782968700000,57186.71400000,232253545.30248000
