timestamp,buy_sell_ratio,buy_vol,sell_vol
1782992700000,1.1919,102540.5800,86033.3700
1782993000000,1.0458,71325.6500,68200.5300
1782993300000,1.3209,290614.2600,220016.8400
1782993600000,1.0952,74499.8400,68024.3700
1782993900000,0.9391,46215.2600,49210.4400
1782994200000,0.9141,90455.1800,98956.5800
1782994500000,0.8465,183036.8700,216229.7400
1782994800000,0.7575,114725.3200,151442.9500
1782995100000,1.2955,173725.2600,134094.8800
1782995400000,0.6782,394033.5000,580977.6300
1782995700000,0.8471,201335.7000,237664.5900
1782996000000,0.9049,106338.6500,117508.4900
1782996300000,1.7385,99258.1300,57093.1400
1782996600000,1.3998,119137.5000,85110.9600
1782996900000,0.7333,81347.8800,110934.3900
1782997200000,1.0196,63938.7200,62711.5600
1782997500000,1.5136,216112.2600,142777.5200
1782997800000,0.7894,90552.8900,114709.7300
1782998100000,0.8726,119187.9700,136583.4600
1782998400000,1.1035,114485.9200,103747.4800
1782998700000,0.7701,257444.0200,334317.1400
1782999000000,1.2266,173082.8400,141110.2700
1782999300000,1.2150,208090.7800,171274.2200
1782999600000,1.4451,112967.7500,78175.1000
1782999900000,1.1320,117042.0100,103392.2100
1783000200000,0.8515,48347.7600,56779.6100
1783000500000,0.4982,42725.5700,85753.8400
1783000800000,0.9469,88423.7500,93377.8100
1783001100000,0.7352,45626.4800,62061.0300
1783001400000,1.0556,94336.3500,89367.4100
1783001700000,0.5724,51719.1000,90358.5400
1783002000000,0.7828,139966.3900,178809.7300
1783002300000,1.0966,150033.9900,136818.2600
1783002600000,0.9932,76115.2600,76634.4200
1783002900000,1.2039,80283.3800,66684.7900
1783003200000,0.9145,75994.3200,83103.4900
1783003500000,1.1486,40799.5100,35522.5200
1783003800000,0.5020,216125.9400,430512.7800
1783004100000,0.8988,124183.2000,138164.7100
1783004400000,1.1062,54015.5200,48828.6400
1783004700000,0.6876,48383.6700,70369.8300
1783005000000,1.8117,48433.1000,26732.9900
1783005300000,1.4852,54765.8400,36874.0900
1783005600000,1.8513,84943.5900,45882.1800
1783005900000,1.5848,64233.8400,40531.8100
1783006200000,1.1556,38417.9000,33245.1800
1783006500000,1.4891,63863.1500,42887.0800
1783006800000,1.9093,47243.4100,24744.4100
1783007100000,1.4492,47023.6600,32447.4400
1783007400000,1.0131,26778.0700,26431.1600
1783007700000,1.9700,32925.7000,16713.9400
1783008000000,0.7265,32432.3700,44639.0800
1783008300000,1.5982,54198.7000,33912.4300
1783008600000,0.8700,39347.2700,45229.1700
1783008900000,0.8697,44171.5800,50787.3000
1783009200000,0.7419,24438.4400,32938.2500
1783009500000,0.7896,92393.3500,117015.5600
1783009800000,0.5703,76508.2600,134147.1300
1783010100000,0.7192,71273.9700,99098.4500
1783010400000,0.7783,73195.0400,94039.9600
1783010700000,1.0804,97556.1300,90298.4100
1783011000000,1.5870,66315.5500,41786.3800
1783011300000,0.5478,39125.7900,71423.5100
1783011600000,1.4698,59614.6800,40558.3500
1783011900000,1.0620,89531.5800,84304.2400
1783012200000,1.4376,67330.7500,46835.9700
1783012500000,0.8001,40054.1100,50058.6300
1783012800000,1.5110,85306.6600,56455.3500
1783013100000,1.2156,40427.2600,33255.8600
1783013400000,0.6220,32500.2100,52248.6200
1783013700000,0.6246,34137.1600,54653.7500
1783014000000,0.9354,19668.2200,21026.3200
1783014300000,0.4408,13283.4900,30134.0400
1783014600000,0.8526,15126.4900,17740.5800
1783014900000,0.3092,11191.5800,36200.9600
1783015200000,1.5643,19772.3500,12639.8100
1783015500000,2.5027,47321.2800,18907.7200
1783015800000,1.3629,25076.6300,18399.2800
1783016100000,0.7994,21433.6400,26812.7300
1783016400000,1.1330,8451.9800,7460.0700
1783016700000,0.4006,26000.1700,64898.0800
1783017000000,2.4686,90344.3500,36598.0900
1783017300000,2.1182,37742.6700,17818.3600
1783017600000,0.8882,22617.6300,25465.2500
1783017900000,2.3391,50838.5000,21733.7500
1783018200000,0.8964,44754.1400,49924.2500
1783018500000,0.7468,69785.8500,93444.4100
1783018800000,1.2412,50894.9100,41003.1500
1783019100000,1.2839,33112.0700,25789.7200
1783019400000,0.9126,31008.2700,33977.3900
1783019700000,1.0243,33750.0000,32948.0000
1783020000000,0.3977,13086.7700,32903.6300
1783020300000,0.8315,31240.7200,37572.4700
1783020600000,0.9232,13200.0900,14297.6600
1783020900000,0.9793,23705.6100,24206.3100
1783021200000,1.2588,10357.1000,8227.6800
1783021500000,2.0038,19241.0600,9602.4800
1783021800000,1.2615,42216.4700,33464.0000
1783022100000,0.5709,27453.6400,48086.9900
1783022400000,1.1732,54729.2700,46647.7400
1783022700000,0.9513,13786.2500,14491.5100
1783023000000,0.9239,7071.4700,7653.6000
1783023300000,0.8479,10312.8600,12163.0500
1783023600000,0.7033,7175.9700,10203.9200
1783023900000,0.9848,12848.7800,13046.6800
1783024200000,1.1556,12685.6300,10977.3300
